cell,value
A1,Full Name
A2,  John Smith
A3,Jane Doe
A4,Bob  Jones
A5,Mary Jo Watson
A6,john smith
A7,Alice Nguyen
A8, Carlos  Ramirez
A9,Jane Doe
A10,Priya Patel
A11,Tom O'Brien
A12,Alice Nguyen
A13,Sam Lee
B1,Email
B2,John.Smith@Example.COM
B3, jane.doe@example.com
B4,BOB.JONES@Example.com
B5,mary.jo@sample.org
B6, JOHN.SMITH@example.com
B7,alice.nguyen@Example.com
B8,Carlos.Ramirez@EXAMPLE.com
B9,Jane.Doe@Example.Com
B10,priya.patel@sample.org
B11,tom.obrien@example.com
B12,ALICE.NGUYEN@example.com
B13,sam.lee@sample.org
C1,First
C2,John
C3,Jane
C4,Bob
C5,Mary
C6,john
C7,Alice
C8,Carlos
C9,Jane
C10,Priya
C11,Tom
C12,Alice
C13,Sam
D1,Last
D2,Smith
D3,Doe
D4,Jones
D5,Jo Watson
D6,smith
D7,Nguyen
D8,Ramirez
D9,Doe
D10,Patel
D11,O'Brien
D12,Nguyen
D13,Lee
E1,Email Clean
E2,john.smith@example.com
E3,jane.doe@example.com
E4,bob.jones@example.com
E5,mary.jo@sample.org
E6,john.smith@example.com
E7,alice.nguyen@example.com
E8,carlos.ramirez@example.com
E9,jane.doe@example.com
E10,priya.patel@sample.org
E11,tom.obrien@example.com
E12,alice.nguyen@example.com
E13,sam.lee@sample.org
F1,Unique?
F2,unique
F3,unique
F4,unique
F5,unique
F6,dup
F7,unique
F8,unique
F9,dup
F10,unique
F11,unique
F12,dup
F13,unique
